Timestamp,Nama ,Email,"Ketika saya membeli cemilan secara online, saya merasa kualitas produk adalah ","Ketika saya membeli cemilan secara online, saya merasa kesesuaian  harga adalah ","Ketika saya membeli cemilan secara online, saya merasa kualitas layanan adalah ","Ketika kami membeli cemilan secara online, saya merasa tampilan dari toko online ",Menurut saya tingkat kepuasan berbelanja cemilan pada online shop adalah 
10/13/2021 16:42:20,Raffi Andrianto Putra,randrianto@student.ciputra.ac.id,Baik,Sesuai,Bagus,Menarik,Puas
10/19/2021 7:38:45,ikwan ,Cardcapitalist2@gmail.com,Baik,Cukup,Bagus,Menarik,Puas
10/19/2021 7:39:58,Anton,Cardcapitalisofficial@gmail.com,Baik,Cukup,Cukup,Menarik,Puas
10/19/2021 7:41:34,richard,rsantoso02@student.ciputra.ac.id,Baik,Cukup,Bagus,Menarik,Puas
10/19/2021 7:42:00,Adi,cardcapitalist33@gmail.com,Cukup,Cukup,Cukup,Menarik,Puas
10/19/2021 7:47:10,Jose,Josecrownover@gmail.com,Baik,Sesuai,Cukup,Menarik,Puas
10/19/2021 7:48:51,Sonny Hidayat,Sonnyhidayat.mbs@gmail.com,Cukup,Cukup,Cukup,Menarik,Puas
10/19/2021 7:57:06,Kelvin,kwilliams@student.ciputra.ac.id,Cukup,Kurang,Cukup,Tidak,Tidak puas
10/19/2021 7:57:22,Anthony,Anthony.vk99@gmail.com,Kurang,Cukup,Cukup,Tidak,Tidak puas
10/19/2021 8:12:51,Yoga,19101312210028@mhs.ulm.ac.id,Cukup,Cukup,Cukup,Menarik,Puas
10/19/2021 8:30:31,Anton,alexanderja130@gmail.com,Baik,Cukup,Cukup,Menarik,Puas
10/20/2021 14:00:15,adinda,adindaandari@gmail.com,Baik,Sesuai,Bagus,Menarik,Puas
10/20/2021 15:39:26,Nikmah,nikmahn144@gmqil.com,Baik,Sesuai,Cukup,Menarik,Puas
10/21/2021 18:42:32,Stevani,Stevjames99@gmail.com,Baik,Sesuai,Bagus,Menarik,Puas
10/21/2021 18:43:00,Angel,Angelicawijaya07@gmail.com,Baik,Cukup,Bagus,Menarik,Puas
10/21/2021 18:43:38,Boby,Barybobby078@gmail.cok,Baik,Cukup,Bagus,Menarik,Puas
10/21/2021 18:44:11,Michael,Mikewill197@gmail.com,Baik,Sesuai,Cukup,Menarik,Puas
10/21/2021 18:44:38,Clarion,Cloud119@gmail.com,Baik,Sesuai,Cukup,Menarik,Puas
10/22/2021 13:18:08,Susan,Susana222@gmail.com,Cukup,Cukup,Cukup,Tidak,Puas
10/22/2021 13:30:48,Tanty,Tantymey3@gmail.com,Cukup,Cukup,Bagus,Menarik,Tidak puas
10/22/2021 13:31:35,Stevano,Stevano.james@student.iphschool.sch.id,Baik,Cukup,Cukup,Tidak,Puas
10/22/2021 14:07:45,Clement Jefferson Theojaya,clementjt7@gmail.com,Cukup,Sesuai,Cukup,Tidak,Puas
10/23/2021 19:01:29,Vincent,Vincentantoniosatrya@gmail.com,Baik,Cukup,Cukup,Menarik,Puas
10/25/2021 9:25:51,Nardi Iswahyudi,lalita.winarsih@yahoo.com,Cukup,Sesuai,Kurang,Menarik,Tidak puas
10/25/2021 9:27:02,Febi Halimah,prabowo.karman@gmail.co.id,Cukup,Sesuai,Cukup,Menarik,Puas
10/25/2021 9:27:39,Emas Jailani ,danang.hariyah@yahoo.co.id,Cukup,Kurang,Cukup,Menarik,Tidak puas
10/25/2021 9:28:25,Samiah Prastuti,vrahayu@gmail.com,Cukup,Cukup,Kurang,Menarik,Puas
10/25/2021 9:29:01,Tania Wulandari,mariadi93@yahoo.com,Cukup,Cukup,Cukup,Menarik,Puas
